,kalori,protein,karbohidrat,lemak
Abon,280.0,9.2,0.0,28.4
Abon haruwan,513.0,23.7,21.3,37.0
Agar-agar,0.0,0.0,0.0,0.2
Akar tonjong segar,45.0,1.1,10.8,0.4
Aletoge segar,37.0,4.4,3.8,0.5
Alpukat segar,85.0,0.9,7.7,6.5
Ampas kacang hijau,96.0,3.7,19.1,0.6
Ampas Tahu,414.0,26.6,41.3,18.3
Ampas tahu kukus,75.0,4.1,10.7,2.1
Ampas tahu mentah,67.0,5.0,8.1,2.1
Anak sapi daging gemuk segar,184.0,18.8,0.0,14.0
Anak sapi daging kurus segar,174.0,19.6,0.0,10.0
Anak sapi daging sedang segar,190.0,19.1,0.0,12.0
Andaliman segar,99.0,4.6,18.0,1.0
Andewi,25.0,1.6,5.3,0.2
Anggur hutan segar,30.0,0.5,6.8,0.2
Angsa,354.0,16.4,0.0,31.5
Anyang sayur,126.0,3.4,10.3,7.9
Apel,58.0,0.3,14.9,0.4
Apel malang segar,57.0,0.5,12.8,0.4
Arbei,37.0,0.8,8.3,0.5
Ares sayur,113.0,0.9,11.2,7.2
Arrowroot segar,102.0,1.0,24.1,0.2
Arwan sirsir,277.0,2.4,10.7,25.0
Asam kandis segar,75.0,0.2,16.1,1.1
Asam masak di pohon,239.0,2.8,62.5,0.6
Asam payak segar,135.0,0.8,32.1,0.4
Asan kandis kering,261.0,0.9,63.3,1.6
Asinan Bogor sayuran,98.0,3.9,14.8,2.6
Ayam,302.0,18.2,0.0,25.0
Ayam  goreng Kentuckysayap,297.0,35.9,1.6,15.2
Ayam ampela goreng,270.0,32.3,9.9,11.2
Ayam dideh/darah segar,75.0,13.8,0.7,1.9
Ayam goreng church texa sayap,295.0,34.0,1.5,16.0
Ayam goreng church texas dada,338.0,35.2,0.4,20.6
Ayam goreng kalasan paha,275.0,37.4,1.3,12.2
Ayam goreng kentucky dada,298.0,34.2,0.1,16.8
Ayam goreng Kentucky paha,286.0,32.1,1.1,16.1
Ayam goreng mbok berek dada,295.0,39.2,1.0,13.6
Ayam goreng paha,287.0,31.0,1.7,15.7
Ayam goreng pasundan dada,246.0,37.9,0.7,9.0
Ayam goreng pasundan paha,245.0,33.1,0.3,11.4
Ayam goreng pioneer dada,295.0,37.4,0.6,14.7
Ayam goreng sukabumi dada,244.0,36.7,1.0,9.2
Ayam goreng sukabumi paha,283.0,35.7,0.5,14.3
Ayam hati segar,261.0,27.4,1.6,16.1
Ayam taliwang masakan,264.0,18.2,2.7,20.1
Ayam usus goreng,473.0,45.2,13.9,26.3
Babat,113.0,17.6,0.0,4.2
Babi daging gemuk segar,453.0,11.9,0.0,45.0
Babi daging kurus segar,371.0,14.1,0.0,35.0
Babi ginjal segar,110.0,16.3,0.8,4.6
Babi hati segar,129.0,19.7,1.7,4.8
Babi hutan masak rica masakan,491.0,24.6,0.2,16.3
Bacang,102.9,3.3,16.3,2.7
Bagea kelapa asin,450.0,3.2,78.1,13.9
Bagea kelapa manis,452.0,1.3,80.6,13.8
Bagea kenari asin,529.0,3.2,63.6,29.1
